,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2021_Human,Staphylococcus aureus infection,11/95,7.020773995849111e-09,1.130344613331707e-06,0,0,12.46135265700483,233.95432423317607,FCGR3B;DEFA4;PTAFR;DEFA5;KRT23;DEFA3;DEFA1B;DEFA1;FCAR;ICAM1;HLA-DQB1
1,KEGG_2021_Human,Rheumatoid arthritis,10/93,7.071529057989342e-08,5.692580891681419e-06,0,0,11.410449490268768,187.86853247118768,CXCL6;CXCL8;CSF1;CCL3L3;CCL3;CXCL1;CXCL3;CXCL2;ICAM1;HLA-DQB1
2,KEGG_2021_Human,Transcriptional misregulation in cancer,13/192,1.9701184873127956e-07,1.0572969215245336e-05,0,0,6.944788118272244,107.22754218688914,SLC45A3;CXCL8;BCL2A1;IL1R2;DEFA4;DEFA5;DEFA3;DEFA1;MMP9;DUSP6;ETV5;DDIT3;DEFA1B
3,KEGG_2021_Human,Cytokine-cytokine receptor interaction,15/295,9.098685483419828e-07,3.6622209070764806e-05,0,0,5.146551724137931,71.58835795727589,CXCL6;IL1RN;CXCL8;CSF1;IL1R2;CCL4L2;CCL3L3;LIF;CSF2RB;CXCL1;IL1RAP;CXCL3;CXCL2;IL1RL1;CCL3
4,KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,9/100,1.4841870168667765e-06,4.779082194311021e-05,0,0,9.317997791682002,125.05352555494343,CXCL6;CXCL8;CSF1;CCL4L2;CCL3L3;CCL3;CXCL1;CXCL3;CXCL2
5,KEGG_2021_Human,TNF signaling pathway,9/112,3.829777529714381e-06,0.00010276569704733588,0,0,8.227388860500767,102.61778465571597,CXCL6;EDN1;CSF1;LIF;CXCL1;CXCL3;CXCL2;MMP9;ICAM1
6,KEGG_2021_Human,NOD-like receptor signaling pathway,11/181,4.984171257941016e-06,0.00011463593893264338,0,0,6.13049161693663,74.84866440801058,CXCL8;DEFA4;OAS3;NAMPT;DEFA5;DEFA3;CXCL1;DEFA1;DEFA1B;CXCL3;CXCL2
7,KEGG_2021_Human,Lipid and atherosclerosis,10/215,0.00013005773679712943,0.0025779006031276,0,0,4.591228893058162,41.08016779301049,CXCL8;DDIT3;CCL3L3;CCL3;CXCL1;CXCL3;LDLR;CXCL2;MMP9;ICAM1
8,KEGG_2021_Human,NF-kappa B signaling pathway,7/104,0.00014410624489533282,0.0025779006031276,0,0,6.732545072555822,59.549089970848925,CXCL8;BCL2A1;CCL4L2;CXCL1;CXCL3;CXCL2;ICAM1
9,KEGG_2021_Human,IL-17 signaling pathway,6/94,0.0005740613363588526,0.0092423875153775,0,0,6.333833619210978,47.26797081463699,CXCL6;CXCL8;CXCL1;CXCL3;CXCL2;MMP9
10,KEGG_2021_Human,Amoebiasis,6/102,0.0008834893748097688,0.0129310717585793,0,0,5.803655660377358,40.80916675254915,CXCL8;IL1R2;COL4A5;CXCL1;CXCL3;CXCL2
11,KEGG_2021_Human,Chemokine signaling pathway,8/192,0.0012490990553111,0.0167587456587578,0,0,4.057556935817805,27.126118240779384,CXCL6;CXCL8;CCL4L2;CCL3L3;CCL3;CXCL1;CXCL3;CXCL2
12,KEGG_2021_Human,Legionellosis,4/57,0.0034531141048982,0.0427654900683549,0,0,6.957855757362017,39.44045796519283,CXCL8;CXCL1;CXCL3;CXCL2
13,KEGG_2021_Human,Asthma,3/31,0.0045845465180104,0.0513849110942911,0,0,9.844186046511629,53.011572712571905,PRG2;EPX;HLA-DQB1
