,Symbol,stat,log2FoldChange,padj
2215,FCGR3B,6.305077917212713,6.625646523588348,2.908202884330879e-06
3067,HDC,6.248099366116102,4.072079330791792,2.908202884330879e-06
59340,HRH4,6.3754862652429,7.772302602456221,2.908202884330879e-06
10253,SPRY2,5.996378954255935,2.819961537624959,1.059220414492711e-05
7850,IL1R2,5.70764491850892,5.678383025866644,3.9228322261145996e-05
107986127,LOC107986127,5.685059268321704,4.021884588614709,3.9228322261145996e-05
107986924,LOC107986924,5.685717451252439,4.3433357543271685,3.9228322261145996e-05
2119,ETV5,5.469719703233648,2.9890198688228073,0.00011831567841030376
112268150,LOC112268150,5.4486695762639785,3.634170803118107,0.00011840634305886496
6506,SLC1A2,5.408272851504525,3.991806821019227,0.0001336280351849537
